,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
66,67,30312,30312,19360.0,22078.0,223391.0,233529.0,10138.0,0.045,1247.0,1675.0,428.0,34.3,-114.2,900.7,27.6,-107.1,827.5,25.3,-83.90691641,603.0,19.3,-70.6,465.0,14.8,{CD6A37C6-A08F-4E39-9C3F-E36441B7DB8B},
67,68,30013,30013,25183.0,25947.0,178020.0,137427.0,-40593.0,-0.228,1113.0,1116.0,4.0,0.3,-100.5,1741.9,34.4,-92.7,1576.9,31.2,-63.98278714,1126.0,25.8,-59.6,892.0,20.5,{EC7DE65E-0929-43B8-9ED4-96C86462BB13},
68,69,30314,30314,22020.0,23468.0,,,,,886.0,943.0,57.0,6.5,-53.5,764.6,56.2,-54.0,739.1,54.3,-37.83816144,549.0,46.9,-40.6,543.0,46.4,{E2BC45F0-49A0-47DA-9330-4F2089D30DA4},
69,70,30317,30317,11970.0,12649.0,222985.0,302010.0,79025.0,0.354,1192.0,1554.0,362.0,30.3,-40.1,401.4,15.7,-34.1,329.9,12.9,-34.15204544,288.0,11.5,-28.5,213.0,8.5,{E2D7ACD4-83AD-4C53-92E6-8A34C23D78E5},
70,71,30303,30303,5934.0,6279.0,,,,,1134.0,1306.0,173.0,15.2,-20.7,133.0,54.1,-19.5,133.8,54.4,-8.95573677,66.0,40.6,-9.0,64.0,39.4,{817FBE58-D0C7-4239-B31C-4A465654BA0C},
71,72,30035,30035,20396.0,20854.0,,,,,937.0,971.0,33.0,3.6,-97.6,1984.0,52.2,-88.7,1805.5,47.5,-68.68935569,1335.0,40.8,-54.9,1014.0,31.0,{B0FDD8CB-255F-4A63-8FFE-197B00F5B106},
72,73,30311,30311,32218.0,36001.0,158937.0,79334.0,-79603.0,-0.501,960.0,992.0,32.0,3.4,-124.8,1925.4,48.8,-125.6,1920.3,48.6,-107.0947187,1617.0,47.2,-87.0,1379.0,40.2,{E51A500F-3A67-4964-BA94-8447C67828E0},
73,74,30135,30135,61912.0,62587.0,189844.0,136956.0,-52888.0,-0.279,1148.0,1174.0,27.0,2.3,-230.6,4315.6,30.1,-200.8,3832.0,26.8,-159.2911682,2715.0,20.2,-141.1,2116.0,15.8,{CC12EF0A-7BAD-4971-BC37-B1E3F9B82C54},
74,75,30316,30316,31110.0,31648.0,194664.0,230627.0,35963.0,0.185,1106.0,1341.0,235.0,21.3,-151.8,1789.7,26.4,-145.3,1535.5,22.6,-103.7722976,998.0,17.0,-93.0,768.0,13.1,{AC4CD0FC-CA2F-4289-8CD7-4A35A634753B},
75,76,30310,30310,26912.0,29152.0,169327.0,71446.0,-97881.0,-0.578,890.0,934.0,44.0,5.0,,,,,,,-92.01693376,1408.0,50.2,-91.0,1381.0,49.2,{409B7F4E-9483-4896-B00B-36801BA2AF51},
